id.f2 	 id.f2.ma 	 id.f2.fa 	 fa.h 	 ma.h 	 ma.l 	 fa.l 
689	258	157	1844	1670	2068	1959
690	258	157	1844	1670	2068	1959
691	258	157	1844	1670	2068	1959
692	291	157	1844	1740	2089	1959
693	291	157	1844	1740	2089	1959
694	291	157	1844	1740	2089	1959
695	291	157	1844	1740	2089	1959
696	291	157	1844	1740	2089	1959
697	291	157	1844	1740	2089	1959
698	291	157	1844	1740	2089	1959
699	291	157	1844	1740	2089	1959
700	291	157	1844	1740	2089	1959
701	291	157	1844	1740	2089	1959
702	291	157	1844	1740	2089	1959
703	241	157	1844	1653	2080	1959
704	241	157	1844	1653	2080	1959
706	241	157	1844	1653	2080	1959
707	241	157	1844	1653	2080	1959
708	241	157	1844	1653	2080	1959
709	241	157	1844	1653	2080	1959
710	241	157	1844	1653	2080	1959
711	241	157	1844	1653	2080	1959
712	241	157	1844	1653	2080	1959
713	241	157	1844	1653	2080	1959
714	241	157	1844	1653	2080	1959
715	241	157	1844	1653	2080	1959
717	285	157	1844	1736	2029	1959
718	285	157	1844	1736	2029	1959
719	285	157	1844	1736	2029	1959
720	285	157	1844	1736	2029	1959
721	285	157	1844	1736	2029	1959
722	285	157	1844	1736	2029	1959
723	285	157	1844	1736	2029	1959
724	285	157	1844	1736	2029	1959
725	285	157	1844	1736	2029	1959
726	285	157	1844	1736	2029	1959
728	285	157	1844	1736	2029	1959
729	318	200	1815	1819	1934	2048
730	318	200	1815	1819	1934	2048
733	318	200	1815	1819	1934	2048
734	318	200	1815	1819	1934	2048
735	318	200	1815	1819	1934	2048
736	318	200	1815	1819	1934	2048
737	318	200	1815	1819	1934	2048
738	318	200	1815	1819	1934	2048
739	318	200	1815	1819	1934	2048
740	318	200	1815	1819	1934	2048
741	318	200	1815	1819	1934	2048
742	318	200	1815	1819	1934	2048
743	240	200	1815	1653	2080	2048
745	240	200	1815	1653	2080	2048
746	240	200	1815	1653	2080	2048
748	240	200	1815	1653	2080	2048
749	240	200	1815	1653	2080	2048
750	240	200	1815	1653	2080	2048
751	240	200	1815	1653	2080	2048
752	240	200	1815	1653	2080	2048
753	240	200	1815	1653	2080	2048
754	240	200	1815	1653	2080	2048
756	240	200	1815	1653	2080	2048
757	301	200	1815	1690	2026	2048
759	301	200	1815	1690	2026	2048
760	301	200	1815	1690	2026	2048
762	301	200	1815	1690	2026	2048
763	301	200	1815	1690	2026	2048
764	301	200	1815	1690	2026	2048
765	301	200	1815	1690	2026	2048
766	301	200	1815	1690	2026	2048
767	301	200	1815	1690	2026	2048
769	301	200	1815	1690	2026	2048
770	301	200	1815	1690	2026	2048
771	301	200	1815	1690	2026	2048
772	301	200	1815	1690	2026	2048
773	301	200	1815	1690	2026	2048
774	301	200	1815	1690	2026	2048
775	327	200	1815	1890	1967	2048
776	327	200	1815	1890	1967	2048
777	327	200	1815	1890	1967	2048
779	327	200	1815	1890	1967	2048
781	327	200	1815	1890	1967	2048
782	327	200	1815	1890	1967	2048
783	327	200	1815	1890	1967	2048
784	327	200	1815	1890	1967	2048
785	327	200	1815	1890	1967	2048
786	327	200	1815	1890	1967	2048
787	327	200	1815	1890	1967	2048
788	327	200	1815	1890	1967	2048
789	327	200	1815	1890	1967	2048
790	327	200	1815	1890	1967	2048
791	248	200	1815	1655	1940	2048
792	248	200	1815	1655	1940	2048
793	248	200	1815	1655	1940	2048
794	248	200	1815	1655	1940	2048
795	248	200	1815	1655	1940	2048
796	248	200	1815	1655	1940	2048
797	248	200	1815	1655	1940	2048
798	248	200	1815	1655	1940	2048
799	248	200	1815	1655	1940	2048
800	248	200	1815	1655	1940	2048
801	248	200	1815	1655	1940	2048
802	248	200	1815	1655	1940	2048
803	248	200	1815	1655	1940	2048
804	265	200	1815	1670	2100	2048
805	265	200	1815	1670	2100	2048
806	265	200	1815	1670	2100	2048
807	265	200	1815	1670	2100	2048
808	265	200	1815	1670	2100	2048
809	265	200	1815	1670	2100	2048
810	265	200	1815	1670	2100	2048
811	265	200	1815	1670	2100	2048
812	265	200	1815	1670	2100	2048
814	265	200	1815	1670	2100	2048
815	265	200	1815	1670	2100	2048
816	265	200	1815	1670	2100	2048
817	265	200	1815	1670	2100	2048
818	265	200	1815	1670	2100	2048
819	265	200	1815	1670	2100	2048
820	265	200	1815	1670	2100	2048
823	316	200	1815	1819	1934	2048
824	316	200	1815	1819	1934	2048
825	316	200	1815	1819	1934	2048
826	316	200	1815	1819	1934	2048
827	316	200	1815	1819	1934	2048
828	316	200	1815	1819	1934	2048
829	316	200	1815	1819	1934	2048
830	316	200	1815	1819	1934	2048
831	316	200	1815	1819	1934	2048
832	316	200	1815	1819	1934	2048
833	316	200	1815	1819	1934	2048
834	304	200	1815	1774	1927	2048
835	304	200	1815	1774	1927	2048
836	304	200	1815	1774	1927	2048
837	304	200	1815	1774	1927	2048
838	304	200	1815	1774	1927	2048
841	304	200	1815	1774	1927	2048
842	304	200	1815	1774	1927	2048
843	304	200	1815	1774	1927	2048
844	304	200	1815	1774	1927	2048
845	304	200	1815	1774	1927	2048
846	304	200	1815	1774	1927	2048
847	280	200	1815	1736	1988	2048
848	280	200	1815	1736	1988	2048
849	280	200	1815	1736	1988	2048
850	280	200	1815	1736	1988	2048
851	280	200	1815	1736	1988	2048
852	280	200	1815	1736	1988	2048
853	280	200	1815	1736	1988	2048
